,JOUEUR,SELECTIONS,POINTS
?refer=joueur&GET_CAT=1&PARAM=747,Marc-Antoine PELLIN,8,32
?refer=joueur&GET_CAT=1&PARAM=900,Pierre PELOS,1,0
?refer=joueur&GET_CAT=1&PARAM=685,Jean-Gaël PERCEVAUT,29,71
?refer=joueur&GET_CAT=1&PARAM=365,R. PERCINETTE GAUTREZ,1,0
?refer=joueur&GET_CAT=1&PARAM=420,Jean PERNICENI,93,506
?refer=joueur&GET_CAT=1&PARAM=404,Jacques PERRIER,50,386
?refer=joueur&GET_CAT=1&PARAM=565,Claude PETER,51,101
?refer=joueur&GET_CAT=1&PARAM=586,Christian PETIT,13,74
?refer=joueur&GET_CAT=1&PARAM=581,Patrick PETIT,26,52
?refer=joueur&GET_CAT=1&PARAM=734,Johan PETRO,45,209
?refer=joueur&GET_CAT=1&PARAM=476,Louis PEYRONNET,1,0
?refer=joueur&GET_CAT=1&PARAM=719,Florent PIETRUS,230,1210
?refer=joueur&GET_CAT=1&PARAM=715,Mickaël PIETRUS,44,337
?refer=joueur&GET_CAT=1&PARAM=463,Bernard PLANQUE,41,153
?refer=joueur&GET_CAT=1&PARAM=697,Laurent PLUVY,31,71
?refer=joueur&GET_CAT=1&PARAM=814,Vincent POIRIER,56,342
?refer=joueur&GET_CAT=1&PARAM=455,Bernard PONTAIS,7,21
?refer=joueur&GET_CAT=1&PARAM=440,Gérard PONTAIS,16,34
?refer=joueur&GET_CAT=1&PARAM=371,Robert POULANGEON,4,8
?refer=joueur&GET_CAT=1&PARAM=361,Fernand PRUDHOMME,23,67
